Year,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
1975,127.9501654,198.9799869,1112.583311,722.6439481,1223.717228,353.2620746,506.1827828,167.1185379,997.6217035,1204.203673,893.7135245,660.1652483,951.9855696,1160.553031,1086.364129,530.6206719,352.8023314,912.3199799,316.6308311,308.5001048,522.3900762
1976,138.2332766,155.8758787,1225.435965,756.7199547,1180.169555,374.0527334,446.2136104,123.2920237,1135.044814,1331.080031,725.9305279,735.6057724,582.2091845,1192.874255,752.5031263,239.2644179,58.50677486,306.4654968,246.4085397,190.1000655,492.3771266
1977,125.0923356,106.3508788,964.1979732,644.6033026,835.1912686,244.3229508,223.3691194,124.2368739,1092.113277,826.3367582,335.9851417,223.9412378,231.303919,378.9756225,369.8546204,203.7558442,49.62641341,127.2793789,198.556004,93.07168842,203.9407701
1978,110.1752624,163.9513845,1354.841172,685.6222119,1024.026196,364.891535,430.5440393,148.404467,926.739493,965.1196986,691.5817014,528.8719968,966.912225,618.9582832,854.9536642,456.4111583,606.3229057,1175.743993,401.4900444,366.0554531,461.999287
1979,131.3346288,191.182433,1386.137613,690.035655,1174.159468,395.0186835,504.6161719,177.3482672,999.3242753,1220.391445,877.0026288,631.1616476,1004.835813,1007.807974,1181.089835,502.460977,515.5407575,1056.27654,474.8663066,373.0175213,867.778995
1980,133.812966,188.5775749,1451.164682,715.6957526,1165.910954,379.9852095,505.1316155,178.4516349,933.7733417,1193.902922,885.6299085,613.5684259,1089.682942,1069.239399,1176.610524,483.0558427,603.8753488,1337.694725,546.6324327,504.3460101,605.3131187
1981,137.1613091,210.7937787,1583.168105,739.5993439,1211.855788,412.4829344,461.0895307,176.874264,1033.405591,1313.54593,868.212988,694.3904808,822.5734739,1214.506404,1161.792162,425.1024417,302.3987926,540.3323994,440.9138511,334.1156121,764.5683508
1982,132.0395037,184.97499,1580.715057,699.4746003,1076.084431,357.1892117,464.452294,183.8419122,820.3050365,1111.607492,727.5500346,576.7878913,1043.744882,1144.037917,1251.791168,464.5352146,544.3846771,1271.722526,530.1047483,462.4888904,755.2639364
1983,122.4760075,166.1204095,1486.89777,491.472841,922.9366769,285.840358,414.305827,183.2459881,734.6688039,1027.767472,793.7728729,614.0112289,1127.823908,1012.233005,966.3780036,415.5333755,502.3492962,1511.977382,495.6818701,438.8653269,446.6671909
1984,145.9571,210.5922773,1602.497081,653.5013222,1134.884118,446.4354193,496.3496147,191.6637263,1071.168532,1317.383876,957.5444062,741.1899076,1058.520275,1376.759527,970.7849365,547.4972887,467.8761377,923.1667482,455.712012,387.8101336,698.4493432
1985,132.8897296,204.1654228,1601.795481,652.8625812,1183.945989,404.2785276,442.4295416,178.0065918,986.1467041,1271.899121,811.1077928,601.7971376,771.6777565,1264.244749,1062.862208,466.8110024,321.9531679,584.2343546,412.0343013,349.3547375,658.2825926
1986,135.3351065,193.4346786,1523.623698,612.4490381,1156.012526,353.0180229,431.6409469,192.5274923,827.5046063,1097.409794,752.1559449,602.354556,1041.9491,1107.207662,1056.542448,484.8943554,512.6960878,1264.210738,487.3247242,536.9464656,637.4881014
1987,139.0645523,212.6248796,1291.213583,631.1368645,1163.152091,438.2284625,406.4170124,158.2265349,940.2659366,977.0175409,705.3828212,528.8232994,701.6424587,1227.332413,993.1990141,414.8775477,239.2661657,681.6185237,405.064443,276.4240028,561.3304244
1988,153.6310831,196.1694036,1287.908884,607.6753055,1158.873224,398.3017962,373.5258448,144.5516536,910.8871633,907.8446722,583.2528161,322.4155711,512.5608177,1191.003732,590.9893304,441.4717784,138.296937,713.4785475,344.1263913,261.5268098,626.1417498
1989,123.4989946,183.3413987,1340.381279,596.8060547,1155.795968,374.6908828,445.5071029,154.9344928,905.6088768,941.2959537,643.6765742,425.2229635,504.4389061,1064.883539,787.8886742,448.1892003,199.7013019,792.9511315,408.1042341,276.0633103,559.7971156
1990,123.8296569,166.1181631,1104.297381,610.1364007,1189.235593,225.9659937,430.4690988,122.5140258,925.3467234,886.9252875,679.9905255,480.4290245,358.1591683,715.5871718,558.2004649,318.313614,130.7493448,511.7728711,207.1541335,181.2748933,376.0191497
1991,112.5145786,165.4462017,997.6291426,547.2954415,783.3217322,264.5056304,390.8186444,130.2190026,956.2846174,732.4774487,632.0972741,486.1301312,437.74438,330.5242872,305.3647259,442.7545138,231.6070227,775.3749846,62.08270052,192.1741698,159.3589728
1992,118.1678677,168.2671353,854.5388235,549.0470911,823.9407535,261.3574386,405.6249869,133.7633264,896.8794864,666.1190795,653.6970436,496.8565274,449.5741414,309.7352634,404.0485878,376.7443971,150.3677605,629.5142603,201.4253639,204.2989637,318.3275748
1993,104.8009452,159.4636035,1057.642886,574.6673726,1045.980462,362.0247522,418.3025746,175.3819336,1014.206218,750.0696204,658.96558,546.8544042,830.0434537,660.9340536,1027.601098,682.4535418,502.5802478,2394.268796,542.9710767,403.4186816,752.5982079
1994,115.1524168,177.1621556,985.7697355,602.2976524,1091.048128,373.5281561,420.085987,145.6462079,1093.411986,812.6986838,695.3607119,552.938652,669.0400621,793.7347926,824.9663208,402.0883524,239.3790165,777.9572064,164.4113077,265.0901644,404.1324966
1995,104.4407427,156.790725,1034.311236,560.6081393,1117.58708,347.5177402,402.9820086,176.4596211,919.4032622,890.761244,651.6767296,541.5022272,708.5412599,787.2578078,1143.78261,492.1554957,565.9837866,2357.470461,368.4383464,480.0825921,770.0502387
1996,119.7846189,178.3878244,1080.557519,558.2458554,1233.585361,384.2749092,443.8525114,171.822629,882.9304198,1007.442871,777.5672807,621.6635219,840.2309447,1270.926375,1456.346869,546.0454286,571.3196635,2108.62225,305.011877,446.2939883,861.4741014
1997,125.72716,176.3926906,1156.549251,628.4132286,1295.215922,460.4145817,482.954442,164.9911072,1058.401824,1024.50608,811.7221371,681.6019507,774.9045594,1296.29841,1042.352304,615.5811998,462.2483387,1746.167442,231.2739849,459.1852575,679.6037788
1998,102.6265502,124.4905015,983.676947,535.9096285,1169.98575,376.2636537,429.1693698,145.2779244,658.6367877,788.4762062,625.2164665,502.9775406,671.4350284,934.3415856,615.8871733,388.4556781,478.7862932,1853.764659,216.6616704,381.9707732,322.9313147
1999,121.1891986,182.7118044,1221.15374,657.0398514,1362.589811,407.3966292,495.1960067,179.7258437,771.9288417,1018.089625,799.865215,628.9942308,657.5593873,1251.844503,762.3099237,601.6084631,325.476497,1486.671146,5.194785948,304.7784591,352.1866901
2000,107.2052919,183.4832697,1218.592833,678.8569377,1403.612904,439.4089607,499.130674,172.8207152,750.5406437,1006.869897,724.9558567,598.6459626,618.933299,1051.542417,892.7526825,471.6260636,392.5338463,1671.285517,178.7314521,344.9570571,637.9051443
2001,125.574689,184.3630958,1311.070987,614.0239903,1330.894277,429.5848527,434.8943894,172.2647902,766.1353116,984.2336208,709.976133,578.7444249,639.0067799,888.6107091,568.8158307,409.3668628,226.2143954,969.6692871,69.35444462,272.114403,260.506513
2002,130.2687515,193.1085263,1273.437082,647.7420261,1363.614882,428.8150474,518.5406083,168.7601677,786.5429028,979.2070661,742.3646171,550.8246805,567.9822898,838.739314,599.267077,503.5376545,284.6339997,1023.331951,128.3529382,269.9688382,406.507693
2003,111.1435291,160.2185587,1233.426605,597.3328969,1299.999391,373.1816224,490.6420752,166.3886276,736.9729098,1200.662659,694.1365034,542.3804532,513.5882736,951.308433,660.0347635,499.1445741,285.3598747,1395.25015,147.7639525,298.4316551,590.3601327
2004,122.5256079,193.0869462,1347.429754,705.1145594,1462.311123,453.0737852,489.3718864,199.1795821,829.0371869,1115.364008,742.6106588,596.6435087,564.8752715,988.9588835,617.1182025,476.8251696,250.9349165,981.5787322,164.1052956,301.6428674,445.4913413
2005,98.700263,147.2289388,1315.299812,631.4721298,1353.296087,368.6990514,482.5935395,192.7337274,704.1798029,1133.470484,660.3615297,604.9468862,560.1711823,928.9348282,945.0783974,518.5944186,461.1087709,2372.626698,418.0968632,444.6889872,980.4461846
2006,95.60496158,162.6621156,1288.433346,654.5186092,1364.099659,370.1315113,499.3912358,202.0673983,693.2896975,1113.210823,671.9983902,576.7239309,668.3741447,1067.001524,1080.667698,509.7064871,496.8985085,2082.757115,359.5028373,439.8194035,757.523072
2007,122.7900997,185.3387325,1380.05455,678.9275676,1471.844584,474.5819141,451.8103665,191.2562017,862.3406874,972.6592108,729.5180882,576.7788713,595.7091895,989.9003701,653.897538,364.3166111,107.9937973,629.8124355,120.5457742,234.0105193,280.4170805
2008,115.8685818,187.3443864,1265.611288,674.2065798,1381.152298,450.8814801,436.9864639,186.0397651,945.6069736,880.5677635,705.4114014,509.7950678,330.4002585,546.4986517,432.9439295,495.7139603,308.4266443,935.3112425,82.78142284,280.5133711,282.5624453
2009,110.5779752,157.0897671,1175.783616,665.165891,1313.23493,312.0213111,468.8461244,179.8543529,840.1533438,845.2671392,670.6567009,518.3321468,426.7659984,338.8255847,454.9998477,462.1795683,271.2191868,1243.007679,108.4898796,288.8217386,329.764392
